Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-27_06:33:17,27.8,29.8,73.0,42.0,38.0,73.0,39.0,42.0,39.0,35.9,35.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,2.0,1.0,100.0,2.0,2.5,1.0,34.6,32.4,1.2
2023-09-27_06:33:19,27.8,29.8,73.0,42.0,38.0,73.0,38.0,41.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,2.0,1.5,100.0,2.5,1.5,2.5,34.7,32.4,1.2
2023-09-27_06:33:21,27.8,29.8,74.0,42.0,39.0,74.0,39.0,41.0,39.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.0,2.0,2.0,100.0,2.0,2.0,0.5,34.7,32.5,1.2
2023-09-27_06:33:23,27.8,29.8,74.0,43.0,38.0,74.0,38.0,42.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.5,2.0,1.0,100.0,3.0,1.0,2.9,34.9,32.7,1.2
2023-09-27_06:33:25,27.8,29.8,73.0,43.0,38.0,73.0,38.0,41.0,39.0,35.9,35.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.6,2.0,3.9,100.0,2.0,1.5,2.0,35.0,32.8,1.2
2023-09-27_06:33:27,27.8,29.8,74.0,43.0,38.0,74.0,38.0,41.0,38.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,2.5,1.5,100.0,2.0,1.5,2.0,35.1,32.5,1.2
2023-09-27_06:33:29,27.8,29.8,73.0,43.0,38.0,73.0,38.0,41.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.6,3.5,2.5,100.0,2.0,1.0,1.5,36.4,32.9,1.2
2023-09-27_06:33:31,27.8,29.8,73.0,43.0,38.0,73.0,38.0,42.0,39.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,3.5,1.0,100.0,6.9,3.4,3.9,39.8,33.9,1.2
2023-09-27_06:33:34,27.8,29.8,73.0,43.0,38.0,74.0,38.0,42.0,40.0,35.9,35.9,47.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,19.5,2.0,3.0,100.0,2.0,5.9,3.0,39.8,33.7,1.2
2023-09-27_06:33:36,27.8,29.8,73.0,42.0,38.0,74.0,37.0,42.0,40.0,35.9,35.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.7,3.5,3.0,100.0,1.5,5.5,4.9,39.9,33.8,1.2
