Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-14_16:42:38,27.8,29.8,62.0,61.0,57.0,61.0,59.0,57.0,57.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.4,99.0,98.5,98.5,98.5,98.5,98.5,79.4,76.3,4.5
2023-09-14_16:42:40,27.8,29.8,60.0,60.0,55.0,60.0,57.0,50.0,55.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,94.3,94.5,94.6,94.0,95.0,93.5,94.5,82.4,79.4,4.5
2023-09-14_16:42:42,27.8,29.8,61.0,61.0,56.0,60.0,58.0,56.0,56.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,97.9,98.0,98.0,98.0,98.0,98.5,97.0,77.8,74.7,4.9
2023-09-14_16:42:44,27.8,29.8,49.0,41.0,39.0,39.0,48.0,38.0,40.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,58.2,50.0,66.2,50.7,82.4,50.2,49.8,58.8,55.9,3.8
2023-09-14_16:42:46,27.8,29.8,61.0,60.0,55.0,61.0,58.0,55.0,55.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,78.2,74.9,76.6,75.2,96.5,74.0,72.3,76.0,72.9,4.2
2023-09-14_16:42:48,27.8,29.8,62.0,61.0,57.0,62.0,59.0,56.0,57.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.4,98.5,98.5,98.5,98.5,98.5,98.0,78.8,75.7,4.5
2023-09-14_16:42:50,27.8,29.8,63.0,59.0,58.0,62.0,59.0,58.0,59.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,95.8,96.0,94.5,96.5,95.5,96.5,96.5,87.8,84.8,4.4
2023-09-14_16:42:52,27.8,29.8,62.0,61.0,57.0,62.0,60.0,56.0,58.0,33.9,33.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,97.9,97.5,97.5,98.0,98.0,98.5,97.5,81.2,77.1,4.8
2023-09-14_16:42:54,27.8,29.8,54.0,41.0,43.0,38.0,51.0,38.0,39.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,71.9,68.6,94.9,66.2,69.2,67.6,66.0,71.8,66.5,3.8
run5
2023-09-14_16:43:27,27.8,29.8,63.0,42.0,37.0,44.0,39.0,63.0,40.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,58.3,50.0,37.5,70.0,50.0,100.0,42.9,98.4,95.8,1.4
2023-09-14_16:43:29,27.8,29.8,55.0,36.0,35.0,37.0,34.0,56.0,37.0,33.9,33.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.5,3.9,3.4,2.0,2.4,97.5,7.4,29.0,26.6,1.7
2023-09-14_16:43:31,27.8,29.8,75.0,75.0,51.0,65.0,61.0,61.0,59.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,30.0,14.4,15.4,17.0,14.9,98.0,20.6,40.9,38.4,2.0
2023-09-14_16:43:33,27.8,29.8,61.0,61.0,57.0,61.0,58.0,56.0,57.0,33.9,33.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,94.9,98.0,93.0,93.6,93.5,94.5,96.5,84.1,81.0,4.5
2023-09-14_16:43:35,27.8,29.8,63.0,63.0,58.0,62.0,60.0,58.0,58.0,33.9,33.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,97.8,98.0,98.0,97.5,97.0,97.5,98.5,79.4,76.3,4.5
2023-09-14_16:43:37,27.8,29.8,61.0,61.0,56.0,61.0,58.0,56.0,57.0,34.9,34.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,94.9,90.5,96.5,96.0,96.0,95.0,95.5,83.0,80.0,4.5
2023-09-14_16:43:39,27.8,29.8,62.0,62.0,58.0,62.0,59.0,57.0,57.0,34.9,34.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,97.9,98.5,97.5,98.5,98.5,96.6,97.5,78.2,75.1,4.9
2023-09-14_16:43:41,27.8,29.8,49.0,44.0,41.0,41.0,50.0,40.0,42.0,34.9,34.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,56.3,64.5,47.3,47.8,82.3,48.0,48.5,57.6,54.7,3.7
2023-09-14_16:43:43,27.8,29.8,61.0,61.0,57.0,60.0,59.0,57.0,57.0,34.9,34.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,80.7,79.3,76.4,77.5,96.5,76.6,77.2,77.9,74.8,4.2
2023-09-14_16:43:45,27.8,29.8,63.0,63.0,58.0,63.0,49.0,59.0,58.0,34.9,34.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,98.1,98.5,98.0,98.5,98.0,98.5,97.5,78.8,75.7,4.5
