Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Pch_Skylake,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Fan:cpu_fan,Fan:gpu_fan
2023-11-14_20:52:13,78.0,78.0,56.0,78.0,54.0,58.0,30.0,37.0,3265.5,3512.3,2800.0,3492.0,3489.3,3583.8,3680.6,2800.0,2800.0,12.9,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,4700,0
2023-11-14_20:52:15,78.0,78.0,55.0,78.0,55.0,58.0,27.0,37.0,3369.5,3538.8,3679.0,3466.4,3536.4,3585.5,2800.0,2800.0,3551.2,12.9,0.0,23.4,1.0,0.0,1.0,76.6,0.0,0.5,4800,0
run5 Time taken: 122.76844477653503 seconds
2023-11-14_20:54:28,75.0,73.0,73.0,72.0,58.0,57.0,28.0,37.5,3461.4,3456.5,3499.2,3401.0,3499.2,3499.2,3482.6,3398.9,3454.3,52.4,40.9,100.0,20.9,19.0,86.0,30.2,62.2,59.1,4300,0
2023-11-14_20:54:30,77.0,77.0,55.0,77.0,54.0,56.0,28.0,37.0,3381.2,3542.8,3779.5,3573.2,2800.0,2800.0,3587.0,3566.5,3400.8,14.3,1.8,100.0,0.4,4.9,4.5,1.3,0.4,0.9,4400,0
2023-11-14_20:54:32,77.0,77.0,55.0,77.0,54.0,56.0,28.0,37.0,3398.8,3401.4,3785.9,3553.4,3491.6,2800.0,3782.0,2800.0,3576.4,12.9,1.0,100.0,0.5,0.5,0.0,0.0,1.0,0.0,4400,0
2023-11-14_20:54:34,77.0,78.0,56.0,78.0,54.0,57.0,28.0,37.0,3387.4,3551.1,3786.2,3554.5,3496.7,3432.2,3678.7,2800.0,2800.0,12.8,1.5,100.0,0.5,0.0,0.0,0.0,0.0,0.0,4500,0
2023-11-14_20:54:36,78.0,77.0,58.0,77.0,54.0,57.0,28.0,37.5,3365.4,3506.0,3649.4,3460.3,3544.3,3585.4,3604.4,2800.0,3504.1,13.0,0.5,100.0,1.0,0.5,1.5,1.0,0.0,0.5,4500,0
2023-11-14_20:54:38,78.0,78.0,56.0,78.0,54.0,58.0,28.0,37.5,3209.2,3541.3,3785.4,2800.0,2800.0,3572.8,2800.0,2800.0,3573.6,12.9,0.5,100.0,0.0,0.5,1.9,0.0,0.0,0.5,4600,0
2023-11-14_20:54:40,78.0,78.0,56.0,78.0,55.0,57.0,28.0,37.0,3198.3,3576.4,3763.7,2800.0,2800.0,3506.8,2800.0,2800.0,3539.9,12.9,1.9,100.0,0.0,0.0,0.0,0.0,0.5,0.5,4700,0
