Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,"Power:package-0,0","Power:core,0","Power:dram,0"
2023-09-27_05:44:54,27.8,29.8,70.0,40.0,40.0,39.0,71.0,38.0,41.0,33.9,33.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.0,1.5,1.0,2.0,100.0,1.5,2.0,34.3,32.0,1.2
2023-09-27_05:44:56,27.8,29.8,70.0,38.0,40.0,38.0,70.0,38.0,39.0,34.9,34.9,49.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,1.5,2.9,2.5,100.0,2.0,1.0,34.0,31.8,1.2
2023-09-27_05:44:58,27.8,29.8,70.0,38.0,39.0,38.0,70.0,38.0,39.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.1,1.5,2.5,2.0,100.0,2.5,2.0,33.9,31.7,1.2
2023-09-27_05:45:00,27.8,29.8,69.0,38.0,39.0,38.0,70.0,38.0,38.0,34.9,34.9,48.9,4.6,4.8,4.8,4.8,4.8,4.8,3.7,18.8,2.0,3.0,2.0,100.0,2.0,2.5,35.0,32.8,1.2
2023-09-27_05:45:02,27.8,29.8,70.0,39.0,39.0,38.0,70.0,38.0,39.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.5,3.4,3.0,1.5,100.0,2.4,2.9,35.3,32.1,1.2
2023-09-27_05:45:04,27.8,29.8,70.0,38.0,39.0,38.0,70.0,38.0,38.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.3,2.0,3.9,1.5,100.0,3.4,3.0,37.7,33.0,1.2
2023-09-27_05:45:06,27.8,29.8,70.0,38.0,40.0,38.0,70.0,37.0,39.0,34.9,34.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.2,2.5,3.0,4.4,100.0,2.9,2.0,39.1,33.1,1.2
run4 Time taken: 81.42775321006775 seconds
2023-09-27_05:46:34,27.8,29.8,69.0,46.0,69.0,52.0,42.0,41.0,42.0,34.9,34.9,46.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,37.8,50.0,100.0,50.0,0.0,0.0,0.0,41.1,39.3,1.2
2023-09-27_05:46:37,27.8,29.8,75.0,41.0,75.0,37.0,41.0,37.0,37.0,34.9,34.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,20.6,4.4,100.0,4.3,3.9,2.0,8.8,36.9,34.7,1.2
2023-09-27_05:46:39,27.8,29.8,74.0,39.0,74.0,37.0,40.0,37.0,37.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,1.5,100.0,3.9,2.9,0.5,4.5,35.2,33.0,1.2
2023-09-27_05:46:41,27.8,29.8,74.0,41.0,74.0,37.0,40.0,37.0,36.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,1.5,100.0,3.9,2.0,1.0,4.0,35.1,32.9,1.2
2023-09-27_05:46:43,27.8,29.8,74.0,39.0,74.0,37.0,40.0,37.0,36.0,34.9,34.9,47.9,4.6,4.8,4.8,4.8,4.8,3.7,4.8,18.7,2.9,100.0,2.5,1.5,2.0,3.0,35.1,32.9,1.2
2023-09-27_05:46:45,27.8,29.8,74.0,39.0,74.0,37.0,40.0,37.0,36.0,34.9,34.9,48.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,19.0,2.5,100.0,1.5,2.0,3.9,4.9,35.4,33.1,1.2
2023-09-27_05:46:47,27.8,29.8,75.0,39.0,75.0,37.0,39.0,36.0,36.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,1.5,100.0,3.4,1.5,2.0,3.5,35.5,33.3,1.2
2023-09-27_05:46:49,27.8,29.8,74.0,38.0,75.0,37.0,39.0,37.0,36.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.8,2.0,100.0,3.4,2.9,2.0,4.0,35.5,33.2,1.2
2023-09-27_05:46:51,27.8,29.8,75.0,39.0,74.0,37.0,39.0,37.0,37.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.7,1.5,100.0,2.5,1.0,2.5,3.5,35.2,33.0,1.2
2023-09-27_05:46:53,27.8,29.8,74.0,39.0,75.0,37.0,40.0,37.0,36.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,1.0,100.0,2.5,1.5,2.5,2.0,35.1,32.9,1.2
2023-09-27_05:46:55,27.8,29.8,74.0,40.0,74.0,37.0,39.0,37.0,37.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.0,0.5,100.0,1.5,1.0,2.5,2.0,35.1,32.4,1.2
2023-09-27_05:46:57,27.8,29.8,75.0,39.0,75.0,37.0,40.0,36.0,36.0,34.9,34.9,47.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,18.2,0.5,100.0,1.5,2.5,2.5,2.0,36.2,32.6,1.2
2023-09-27_05:46:59,27.8,29.8,62.0,54.0,54.0,44.0,62.0,48.0,60.0,34.9,34.9,45.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,21.2,4.5,100.0,5.4,8.8,5.4,4.0,41.1,35.0,1.2
